ID,Title_Name,Year
3011894/,"Wild Tales",2014
4729430/,"Klaus",2019
0107207/,"In the Name of the Father",1993
0978762/,"Mary and Max",2009
8108198/,"Andhadhun",2018
2267998/,"Gone Girl",2014
2119532/,"Hacksaw Ridge",2016
2278388/,"The Grand Budapest Hotel",2014
0112471/,"Before Sunrise",1995
0118715/,"The Big Lebowski",1998
0264464/,"Catch Me If You Can",2002
0116231/,"The Bandit",1996
0060827/,"Persona",1966
0035446/,"To Be or Not to Be",1942
1950186/,"Ford v Ferrari",2019
1392214/,"Prisoners",2013
0017925/,"The General",1926
0015324/,"Sherlock Jr.",1924
0892769/,"How to Train Your Dragon",2010
0031679/,"Mr. Smith Goes to Washington",1939
2024544/,"12 Years a Slave",2013
0072684/,"Barry Lyndon",1975
1392190/,"Mad Max: Fury Road",2015
0074958/,"Network",1976
0092005/,"Stand by Me",1986
0405159/,"Million Dollar Baby",2004
0061512/,"Cool Hand Luke",1967
1028532/,"Hachi: A Dog's Tale",2009
0097165/,"Dead Poets Society",1989
0052618/,"Ben-Hur",1959
0758758/,"Into the Wild",2007
1201607/,"Harry Potter and the Deathly Hallows: Part 2",2011
0091763/,"Platoon",1986
3315342/,"Logan",2017
0046268/,"The Wages of Fear",1953
0079470/,"Monty Python's Life of Brian",1979
1979320/,"Rush",2013
4016934/,"The Handmaiden",2016
0019254/,"The Passion of Joan of Arc",1928
0053198/,"The 400 Blows",1959
0048021/,"Rififi",1955
0060107/,"Andrei Rublev",1966
0395169/,"Hotel Rwanda",2004
1895587/,"Spotlight",2015
0245712/,"Amores Perros",2000
0113247/,"La Haine",1995
0087544/,"Nausicaä of the Valley of the Wind",1984
0075148/,"Rocky",1976
0405508/,"Rang De Basanti",2006
1954470/,"Gangs of Wasseypur",2012
0198781/,"Monsters, Inc.",2001
0032976/,"Rebecca",1940
8613070/,"Portrait of a Lady on Fire",2019
0381681/,"Before Sunset",2004
0118694/,"In the Mood for Love",2000
0025316/,"It Happened One Night",1934
4430212/,"Drishyam",2015
0087884/,"Paris, Texas",1984
0018773/,"The Circus",1928
4857264/,"The Invisible Guest",2016
1454029/,"The Help",2011
0093779/,"The Princess Bride",1987
0058946/,"The Battle of Algiers",1966
0088247/,"The Terminator",1984
10431500/,"Yedinci Kogustaki Mucize",2019
0111495/,"Three Colors: Red",1994
5323662/,"A Silent Voice: The Movie",2016
0103639/,"Aladdin",1992
