ID,Rating,Runtime,Genres,Release_Date,Release_Country
0012349/,Passed,68,"Comedy, Drama, Family",6 February 1921,USA
0066921/,R,136,"Crime, Drama, Sci-Fi",2 February 1972,USA
0053125/,Approved,136,"Adventure, Mystery, Thriller",8 September 1959,Australia
0045152/,G,103,"Comedy, Musical, Romance",11 April 1952,USA
0208092/,R,102,"Comedy, Crime",19 January 2001,USA
0086250/,R,170,"Crime, Drama",9 December 1983,USA
0075314/,R,114,"Crime, Drama",9 February 1976,USA
0044741/,Not Rated,143,Drama,25 March 1956,USA
0056172/,Approved,228,"Adventure, Biography, Drama",11 December 1962,UK
0211915/,R,122,"Comedy, Romance",8 February 2002,USA
0435761/,G,103,"Animation, Adventure, Comedy",18 June 2010,USA
0070735/,PG,129,"Comedy, Crime, Drama",25 December 1973,USA
0017136/,Not Rated,153,"Drama, Sci-Fi",13 March 1927,USA
1832382/,PG-13,123,"Drama, Thriller",16 March 2011,Iran
0059578/,R,132,Western,10 May 1967,USA
1255953/,R,131,"Drama, Mystery, War",12 January 2011,France
0053604/,Approved,125,"Comedy, Drama, Romance",29 June 1960,Canada
0036775/,Passed,107,"Crime, Drama, Film-Noir",6 July 1944,USA
0091251/,Not Rated,142,"Drama, War",17 October 1985,Hungary
0056592/,Approved,129,"Crime, Drama",16 March 1963,USA
0097576/,PG-13,127,"Action, Adventure",24 May 1989,USA
1049413/,PG,96,"Animation, Adventure, Comedy",29 May 2009,USA
0119488/,R,138,"Crime, Drama, Mystery",19 September 1997,USA
0113277/,R,170,"Crime, Drama, Thriller",15 December 1995,USA
0071853/,PG,91,"Adventure, Comedy, Fantasy",25 May 1975,UK
0095016/,R,132,"Action, Thriller",20 July 1988,USA
0042876/,Not Rated,88,"Crime, Drama, Mystery",26 December 1951,USA
0055630/,Not Rated,110,"Action, Drama, Thriller",13 September 1961,USA
0372784/,PG-13,140,"Action, Adventure",15 June 2005,USA
6966692/,PG-13,130,"Biography, Comedy, Drama",16 November 2018,USA
0363163/,R,156,"Biography, Drama, History",8 April 2005,USA
0118849/,PG,89,"Drama, Family, Sport",22 January 1999,USA
0105695/,R,130,"Drama, Western",7 August 1992,USA
0053291/,Passed,121,"Comedy, Music, Romance",19 March 1959,USA
0089881/,R,162,"Action, Drama, War",1 June 1985,Japan
0066763/,Not Rated,122,"Drama, Musical",12 March 1971,India
0347149/,PG,119,"Animation, Adventure, Family",17 June 2005,USA
0268978/,PG-13,135,"Biography, Drama",4 January 2002,USA
0042192/,Passed,138,Drama,27 October 1950,USA
0057115/,Not Rated,172,"Adventure, Drama, History",4 July 1963,USA
0112641/,R,178,"Crime, Drama",22 November 1995,USA
0457430/,R,118,"Drama, Fantasy, War",19 January 2007,USA
0993846/,R,180,"Biography, Crime, Drama",25 December 2013,USA
1305806/,R,129,"Drama, Mystery, Romance",21 May 2010,USA
0120735/,R,107,"Action, Comedy, Crime",28 August 1998,UK
0081398/,R,129,"Biography, Drama, Sport",19 December 1980,USA
0096283/,G,86,"Animation, Family, Fantasy",13 July 1990,USA
0469494/,R,158,Drama,25 January 2008,USA
0055031/,Approved,179,"Drama, War",18 December 1961,Sweden
0040897/,Passed,126,"Adventure, Drama, Western",24 January 1948,USA
5027774/,R,115,"Comedy, Crime, Drama",1 December 2017,USA
0046912/,PG,105,"Crime, Thriller",29 May 1954,USA
0476735/,,112,"Drama, Family",18 November 2005,Turkey
0071315/,R,130,"Drama, Mystery, Thriller",20 June 1974,USA
0015864/,Passed,95,"Adventure, Comedy, Drama",13 July 1925,Brazil
1130884/,R,138,"Mystery, Thriller",19 February 2010,USA
0477348/,R,122,"Crime, Drama, Thriller",21 November 2007,USA
0434409/,R,132,"Action, Drama, Sci-Fi",17 March 2006,USA
0050976/,Not Rated,96,"Drama, Fantasy",13 October 1958,USA
2096673/,PG,95,"Animation, Adventure, Comedy",19 June 2015,USA
1291584/,PG-13,140,"Action, Drama, Sport",9 September 2011,USA
0080678/,PG,124,"Biography, Drama",10 October 1980,USA
0117951/,R,93,Drama,9 August 1996,USA
0167404/,PG-13,107,"Drama, Mystery, Thriller",6 August 1999,USA
0084787/,R,109,"Horror, Mystery, Sci-Fi",25 June 1982,USA
0107290/,PG-13,127,"Action, Adventure, Sci-Fi",11 June 1993,USA
0031381/,Passed,238,"Drama, History, Romance",17 January 1940,USA
0120382/,PG,103,"Comedy, Drama, Sci-Fi",5 June 1998,USA
0050986/,Not Rated,91,"Drama, Romance",22 June 1959,USA
0266543/,G,100,"Animation, Adventure, Comedy",30 May 2003,USA
0083658/,R,117,"Action, Sci-Fi, Thriller",25 June 1982,USA
3170832/,R,118,"Drama, Thriller",22 January 2016,USA
0050212/,PG,161,"Adventure, Drama, War",14 December 1957,USA
0079944/,Not Rated,162,"Drama, Sci-Fi",17 April 1980,Netherlands
0266697/,R,111,"Action, Crime, Thriller",10 October 2003,USA
0116282/,R,98,"Crime, Drama, Thriller",5 April 1996,USA
0353969/,Not Rated,132,"Action, Crime, Drama",2 May 2003,South Korea
0046438/,Not Rated,136,Drama,13 March 1972,USA
0041959/,Approved,93,"Film-Noir, Mystery, Thriller",12 October 1949,France
0047296/,Approved,108,"Crime, Drama, Thriller",22 June 1954,Japan
1205489/,R,116,Drama,9 January 2009,USA
0077416/,R,183,"Drama, War",23 February 1979,USA
3011894/,R,122,"Comedy, Drama, Thriller",21 August 2014,Argentina
4729430/,PG,96,"Animation, Adventure, Comedy",15 November 2019,USA
0107207/,R,133,"Biography, Drama",25 February 1994,USA
0978762/,Not Rated,92,"Animation, Comedy, Drama",9 April 2009,Australia
8108198/,Not Rated,139,"Crime, Thriller",5 October 2018,USA
2267998/,R,149,"Drama, Mystery, Thriller",3 October 2014,USA
2119532/,R,139,"Biography, Drama, History",4 November 2016,USA
2278388/,R,99,"Adventure, Comedy, Crime",28 March 2014,USA
0112471/,R,101,"Drama, Romance",27 January 1995,USA
0118715/,R,117,"Comedy, Crime, Sport",6 March 1998,USA
0264464/,PG-13,141,"Biography, Crime, Drama",25 December 2002,USA
0116231/,,128,"Crime, Drama, Thriller",29 November 1996,Turkey
0060827/,Not Rated,83,"Drama, Thriller",16 March 1967,USA
0035446/,Passed,99,"Comedy, War",6 March 1942,USA
1950186/,PG-13,152,"Action, Biography, Drama",15 November 2019,USA
1392214/,R,153,"Crime, Drama, Mystery",20 September 2013,USA
0017925/,Passed,67,"Action, Adventure, Comedy",2 January 1927,USA
0015324/,Passed,45,"Action, Comedy, Romance",11 May 1924,USA
0892769/,PG,98,"Animation, Action, Adventure",26 March 2010,USA
0031679/,Passed,129,"Comedy, Drama",19 October 1939,USA
2024544/,R,134,"Biography, Drama, History",8 November 2013,USA
0072684/,PG,185,"Adventure, Drama, History",18 December 1975,USA
1392190/,R,120,"Action, Adventure, Sci-Fi",15 May 2015,USA
0074958/,R,121,Drama,27 November 1976,USA
0092005/,R,89,"Adventure, Drama",26 November 1986,USA
0405159/,PG-13,132,"Drama, Sport",28 January 2005,USA
0061512/,GP,127,"Crime, Drama",1 November 1967,USA
1028532/,G,93,"Drama, Family",12 March 2010,UK
0097165/,PG,128,"Comedy, Drama",9 June 1989,USA
